file,label,geometry_type,method,status,error,pc_to_mesh_mean,pc_to_mesh_rmse,pc_to_mesh_p95,mesh_to_pc_mean,chamfer_mean,mesh_components,largest_mesh_component_ratio,mean_adjacent_face_angle,smoothness_score,n_vertices,n_triangles,bad_triangle_ratio,mean_aspect_ratio,artifact_score,rmse_normalized,accuracy_score,connectivity_score,global_quality_score
valve_0002_lidar_classes.ply,0,plane,alpha_shape,ok,,0.0075250500751480156,0.009859617596452463,0.01838157745997185,0.005959775752077966,0.013484825827225981,110,0.49334377447141736,1.1972063435100937,0.4551233901875935,802,1277,0.007830853563038372,2.0428842664303657,0.9921691464369616,0.023119170223160068,0.9774032479343365,0.00909090909090909,0.6084466734124502
valve_0002_lidar_classes.ply,0,plane,ball_pivoting,ok,,0.005943016470680296,0.006888759519321071,0.01240179657109743,0.005967783668190526,0.011910800138870822,2,0.999400479616307,0.1342173977960795,0.8816651921784308,953,1668,0.005995203836930456,1.8575321114305297,0.9940047961630696,0.01615300009311736,0.9841037716843456,0.5,0.8399434400064615
valve_0002_lidar_classes.ply,0,plane,poisson,ok,,0.00823982016453321,0.011940249680133859,0.029268851932101665,0.010815017416830169,0.01905483758136338,5,0.8097475044039929,0.1792717971305085,0.8479809340249416,1776,3406,0.04638872577803876,4.296175167019459,0.9536112742219612,0.02799790784597679,0.9727646256550828,0.2,0.7435892084754964
valve_0002_lidar_classes.ply,1,spherical,alpha_shape,ok,,0.007350767293442916,0.0083608674542488,0.01377844126613476,0.013092578624531238,0.020443345917974153,2,0.9958333333333333,0.8536869531511907,0.5394654142114135,233,480,0.00625,2.1590691708955303,0.99375,0.024222992023122555,0.9763498845351289,0.5,0.7523913246866356
valve_0002_lidar_classes.ply,1,spherical,ball_pivoting,ok,,0.006522585700600236,0.007737253027117786,0.01354483246635893,0.011634239724014726,0.018156825424614963,1,1.0,0.44168120170575936,0.6936346251978774,254,440,0.004545454545454545,1.9209240701857033,0.9954545454545455,0.022416264745533404,0.9780752072140474,1.0,0.9167910944666177
valve_0002_lidar_classes.ply,1,spherical,poisson,ok,,0.0072978472365517345,0.008635800871753472,0.014937541403225292,0.01233204929580945,0.019629896532361184,14,0.9798761609907121,0.2528864698573436,0.7981569152980494,2669,5168,0.04856811145510836,13.014145022888513,0.9514318885448917,0.02501952539906086,0.9755911718956571,0.07142857142857142,0.6991521367917924
valve_0002_lidar_classes.ply,2,spherical,alpha_shape,ok,,0.006361437004387108,0.009471419165394231,0.022462516736391876,0.008740755933096315,0.015102192937483423,28,0.0970873786407767,1.4363998809222642,0.41044165525958914,140,206,0.0048543689320388345,2.1346709878288093,0.9951456310679612,0.0377075668227984,0.9636626270942116,0.03571428571428571,0.6012410497840119
valve_0002_lidar_classes.ply,2,spherical,ball_pivoting,ok,,0.003953160143876093,0.004512998198474813,0.007540018262037151,0.00848835977606403,0.012441519919940122,1,1.0,0.205601717615497,0.8294613265630154,164,292,0.0136986301369863,2.231067488018574,0.9863013698630136,0.01796712595741977,0.9823499939248812,1.0,0.9495281725877276
valve_0002_lidar_classes.ply,2,spherical,poisson,ok,,0.004197396595252956,0.004785535200013871,0.007980807190652852,0.009207712928791953,0.01340510952404491,4,0.9968206157965194,0.12828139563551155,0.8863037216320878,3111,5976,0.04836010709504685,6.054482011286606,0.9516398929049531,0.01905214891097748,0.9813040491290483,0.25,0.7673119159165224
valve_0002_lidar_classes.ply,3,tubular,alpha_shape,ok,,0.008599265382261695,0.012146335338425024,0.027950534371814707,0.008104504943708509,0.016703770325970202,62,0.2494802494802495,1.5970487727228464,0.38505245280840883,318,481,0.006237006237006237,2.002018918264336,0.9937629937629937,0.030755476174104363,0.9701621995856274,0.016129032258064516,0.5912766696037737
