used_reconstruction_method,pc_to_mesh_mean,pc_to_mesh_rmse,pc_to_mesh_p95,mesh_to_pc_mean,chamfer_mean,rmse_normalized,accuracy_score,smoothness_score,connectivity_score,artifact_score,global_quality_score,n_vertices,n_triangles,mesh_components,bad_triangle_ratio,mean_aspect_ratio
alpha_shape,0.007243201987973529,0.008990927460827766,0.017119510893750665,0.007979442534774223,0.015222644522747752,0.020588990236092796,0.9798396883540226,0.4985162299955492,0.18060722548466648,0.9958370323692,0.6637000440508596,589.8402699662543,1017.1417322834645,57.79527559055118,0.00416296763080003,2.0656285901252858
ball_pivoting,0.006536983057415496,0.007768708106452129,0.01396215480615733,0.008567379722278856,0.015104362779694352,0.01387458968117067,0.9863249336143758,0.7748265685536283,0.775316847658059,0.9967322780834613,0.8833001569773811,442.24470704086656,749.8860167405219,1.879369768586903,0.003267721916538715,1.850806093999685
poisson,0.0056677358962765045,0.007005795181019405,0.013074480483620178,0.011682186686811577,0.01734992258308808,0.021431230308350802,0.9790361520471293,0.8322470670966107,0.2656971155077977,0.9445863626277453,0.7553916743198208,2230.592990390051,4244.853024307518,11.554550593555682,0.055413637372254715,8.175014859093704
