file,label,n_points
valve_0011_lidar_classes.ply,13,1033
valve_0012_lidar_classes.ply,0,1129
valve_0012_lidar_classes.ply,1,229
valve_0012_lidar_classes.ply,2,175
valve_0012_lidar_classes.ply,3,410
valve_0012_lidar_classes.ply,4,339
valve_0012_lidar_classes.ply,5,145
valve_0012_lidar_classes.ply,6,755
valve_0012_lidar_classes.ply,7,152
valve_0012_lidar_classes.ply,8,189
valve_0012_lidar_classes.ply,9,247
valve_0012_lidar_classes.ply,10,231
valve_0012_lidar_classes.ply,11,464
valve_0012_lidar_classes.ply,12,577
valve_0012_lidar_classes.ply,13,991
valve_0013_lidar_classes.ply,0,1063
valve_0013_lidar_classes.ply,1,247
valve_0013_lidar_classes.ply,2,171
valve_0013_lidar_classes.ply,3,372
valve_0013_lidar_classes.ply,4,339
valve_0013_lidar_classes.ply,5,161
valve_0013_lidar_classes.ply,6,839
valve_0013_lidar_classes.ply,7,211
valve_0013_lidar_classes.ply,8,158
valve_0013_lidar_classes.ply,9,236
valve_0013_lidar_classes.ply,10,342
valve_0013_lidar_classes.ply,11,332
valve_0013_lidar_classes.ply,12,579
valve_0013_lidar_classes.ply,13,946
valve_0014_lidar_classes.ply,0,1027
valve_0014_lidar_classes.ply,1,243
valve_0014_lidar_classes.ply,2,187
valve_0014_lidar_classes.ply,3,352
valve_0014_lidar_classes.ply,4,360
valve_0014_lidar_classes.ply,5,135
valve_0014_lidar_classes.ply,6,828
valve_0014_lidar_classes.ply,7,169
valve_0014_lidar_classes.ply,8,147
valve_0014_lidar_classes.ply,9,276
valve_0014_lidar_classes.ply,10,247
valve_0014_lidar_classes.ply,11,364
valve_0014_lidar_classes.ply,12,504
valve_0014_lidar_classes.ply,13,983
valve_0015_lidar_classes.ply,0,1110
valve_0015_lidar_classes.ply,1,236
valve_0015_lidar_classes.ply,2,178
valve_0015_lidar_classes.ply,3,347
valve_0015_lidar_classes.ply,4,342
valve_0015_lidar_classes.ply,5,130
valve_0015_lidar_classes.ply,6,851
valve_0015_lidar_classes.ply,7,224
valve_0015_lidar_classes.ply,8,131
valve_0015_lidar_classes.ply,9,200
valve_0015_lidar_classes.ply,10,324
valve_0015_lidar_classes.ply,11,368
valve_0015_lidar_classes.ply,12,450
valve_0015_lidar_classes.ply,13,1010
valve_0016_lidar_classes.ply,0,973
valve_0016_lidar_classes.ply,1,262
valve_0016_lidar_classes.ply,2,143
valve_0016_lidar_classes.ply,3,398
valve_0016_lidar_classes.ply,4,275
valve_0016_lidar_classes.ply,5,147
valve_0016_lidar_classes.ply,6,829
valve_0016_lidar_classes.ply,7,183
